age,adobe_mud,mud_mortar_stone,stone_flag,cement_mortar_stone,mud_mortar_brick,cement_mortar_brick,timber,bamboo,rc_non_engineered,rc_engineered
0-5 years,3.3232253618194347,3.692599594309291,3.9845121321631387,2.5189363416599515,2.756970015781168,1.723624327678941,2.8347899463564583,2.5625521584098325,1.8053821123911704,1.3649011062688567
100+ years,3.203738317757009,4.023508668821628,3.8289156626506022,3.4166666666666665,3.5481171548117154,1.7323420074349443,3.486146095717884,3.1041666666666665,1.9733333333333334,1.3333333333333333
11-15 years,3.704027664768104,3.9312422336860338,4.055419222903885,3.0104712041884816,3.261400651465798,2.0536462699077953,3.341893239201315,3.2218106995884774,2.410772225827385,1.5031126202603282
16-20 years,3.7074784910655194,4.017116420786145,4.167707404103479,3.208838203848895,3.384259259259259,2.204240848169634,3.5386541932157196,3.3837796867104597,2.597137745974955,1.586046511627907
21-25 years,3.754292623941959,4.0584370347097956,4.147017045454546,3.3548034934497815,3.4535064935064934,2.272991639403853,3.653840483561846,3.4778728828992898,2.9262472885032538,1.6432584269662922
26-30 years,3.804361370716511,4.082981946954347,4.179431072210066,3.453887884267631,3.573819485953377,2.474184782608696,3.782545874873573,3.6200758681062153,3.2980392156862743,1.6382978723404256
31-35 years,3.766558089033659,4.104744909340046,4.156188605108055,3.5375375375375375,3.4967159277504103,2.5825105782792668,3.852846401718582,3.741517581739667,3.416829745596869,1.7959183673469388
36-40 years,3.7799315849486885,4.110568752937773,4.128517823639775,3.5829787234042554,3.5660018993352325,2.5583864118895967,3.9358816276202218,3.7149187592319053,3.5169300225733635,2.260869565217391
41-45 years,3.8104366347177847,4.076917387767177,4.251428571428572,3.4954128440366974,3.6276391554702494,2.6218905472636815,3.921921921921922,3.767366720516963,3.6341463414634148,2.5454545454545454
46-50 years,3.806026365348399,4.137773462043754,4.377398720682303,3.4065040650406506,3.5724258289703315,2.6462585034013606,4.0339248434238,3.8534599728629577,3.8796992481203008,1.6666666666666667
51-55 years,3.7193877551020407,4.065984072810012,4.414634146341464,3.148936170212766,3.5991561181434597,2.978723404255319,3.9356589147286822,3.783393501805054,3.6493506493506493,1.3333333333333333
56-60 years,3.8625,4.09912098080037,4.115456238361267,3.6037735849056602,3.680511182108626,2.7857142857142856,3.96763925729443,3.852367688022284,3.8609271523178808,2.6
6-10 years,3.517834871539037,3.8344681390338597,4.059976387249114,2.8677817602548785,3.108974358974359,1.9651348271933156,3.1244398294895617,2.9706788963235846,2.106638630219285,1.4683348779734322
61-65 years,4.009661835748792,4.050221099178774,4.281818181818182,3.52,3.793103448275862,2.8181818181818183,3.8998589562764456,3.792207792207792,3.9767441860465116,2.0
66-70 years,3.899408284023669,4.102148180622534,4.344186046511628,3.782608695652174,3.8221153846153846,3.0,4.021615472127418,3.7483870967741937,3.7333333333333334,1.0
71-75 years,3.5445544554455446,4.085620915032679,4.150943396226415,4.25,3.5921052631578947,2.6,3.888157894736842,3.5714285714285716,4.0,
76-80 years,3.9046153846153846,4.097738876732312,4.182879377431907,3.611111111111111,3.8282442748091605,4.076923076923077,3.9430379746835444,3.6666666666666665,4.037974683544304,
81-85 years,4.022058823529412,4.106151333696244,4.105263157894737,3.25,3.980769230769231,3.4,3.95,3.74468085106383,3.269230769230769,3.0
86-90 years,3.8733333333333335,4.083563535911602,4.163265306122449,3.888888888888889,4.026315789473684,3.7142857142857144,3.9504950495049505,3.8805970149253732,3.4642857142857144,
91-95 years,3.857142857142857,4.08,4.6,2.0,3.8846153846153846,5.0,3.8,3.5833333333333335,3.6666666666666665,
96-100 years,3.893805309734513,4.071831708568497,4.246511627906977,3.6470588235294117,3.778688524590164,1.9545454545454546,3.8375,3.8,3.1818181818181817,2.0
